岗位名称,公司名称,最低工资,最高工资,工作地点,学位要求,工作日,截止日期,岗位描述
新媒体运营实习生,AOEO,120,150,广州,本科,5,2021/4/20,"【岗位职责】：
1、负责新媒体（抖音、小红书、B站、双微）的达人推广工作；
2、媒介资源开发：根据产品用户画像分析，开发媒介资源，如小红书达人、微博红人、微信公众号，抖音KOL等，与目标媒介平台达成产品推广合作；
3、文案内容的输出和把控：根据不同的媒体平台（抖音、小红书等）输出内容写brief，优化文案通稿或脚本文案；
4、推广效果监控和优化：分析推广数据结果、及时优化媒介效率。

【任职要求】：
1、本科及以上学历，有同行经验优先，也可接收无经验但有兴趣的，中文、新闻、传播、市场营销等相关专业，有广告行业、美妆行业等新媒体运营/投放经验优先考虑；
2、有微信/微博/淘宝/抖音等新媒体运营或有微博大V资源者优先考虑；
3、思维活跃，有创意，学习能力强，有好奇心。

【福利待遇】：
1、享受带薪法定节假日、婚假、产假等带薪假期；
2、节日福利：享受传统重大节日或公司设立节日礼品福利。
3、工作日贴心餐补；
4、不同类型多样茶歇茶点，每月惊喜生日会；
5、各类优秀员工激励，宽阔的升职空间以及多岗位轮岗，综合提升个人实力；
6、地铁上盖高端写字楼，交通方便。"
新媒体运营实习生,沃尔德留学,80,150,珠海,本科,5,2021/4/27,"岗位职责：


	1、与同事配合，独立完成微信公众号推文的撰写、采编、排版；


	2、公众号等新媒体的运营；


	3、上级安排的其他事宜。


任职要求：


	1、审美好——希望你是互联网重度依赖症患者，是行走的创意输出者。具有良好的排版审美，有新媒体嗅觉，各种段子信手沾来，老梗新梗烂熟于心；


	2、会聊天——对海内外优秀学子有强烈的探索心，记录分享与“沃”交集以及平凡的日常生活，会思考，有逻辑；


	3、英语好——英语听说读写良好以上，能主持线上下活动；


	4、能抗压——希望你没有玻璃心，对工作有责任感，热爱挑战。


你将获得：


	1、20年留学公司工作实习证明；


	2、资深翻译、托福雅思大神指导交流；


	3、拥有N千用户平台，起点高，成长更快，眼界更广；


	3、月度奖金，时不时的各种福利。"
新媒体运营（线上实习）,半撇私塾,80,100,全国,本科,5,2021/11/25,"该实习项目为持续7-10天左右的短期线上实习项目（可提供实习证书），提供行业TOP3的免费系统新媒体培训课程，导师手把手辅导，组队实习。








【你需要做什么】


负责撰写/制作小红书/B站/知乎等渠道的内容 






【你需要具备什么条件？】
1. 在校大学生（大三大四优先）
2. 具备一定的内容创作/编辑经验
3. 熟悉小红书、知乎、抖音、B站等渠道的规则
4. 每天有3个小时以上的实习时间



【你会收获什么？】
参加新媒体运培生项目的同学，7天就可以收获：
•  系统的新媒体运营培训
• 1v1新媒体运营职业规划


• 小红书实战经验
• 高含金量项目证书
• 求职加分的实习证明
• 实用求职技能课"
新媒体内容创作／文案,优邑广告,80,150,上海,不限,5,2021/4/20,"一、工作内容
1、撰写各种新媒体文案，包括公众号、知乎、微博等渠道的文字内容
2、参与进行内容选题，并做相关资讯搜集和研究
3、可能产生的额外工作：如果能做ppt或keynote最好

二、职位要求
1、必备条件：擅长文字撰写。此处并不强调撰写散文、小说、诗歌等纯文学能力（有的话当然更好），主要是指通过对撰写内容的规划和梳理，以文字的形式把内容写清楚，言之有物，并尽量做到有趣、可读性强
2、由于撰写内容领域跨度较大，所以需要很强的学习能力、资讯收集和分析能力。简言之，面对一个陌生内容，在拿到基础素材的情况下，能够尽快整理出文章逻辑和架构

	3、广告、新闻、传媒类专业最佳 


	4、写过公众号长文章的最佳 


	5、需要提供参考作品


	6、需要明确每周可坐班实习的时间"
新媒体编辑实习生,Smart,150,200,上海,不限,5,2022/3/19,"工作职责:
1.日常的微信、微博公众号文案撰写。
2.会使用ps或ai，能独立完成微信排版设、海报、banner、kv等平面相关设计。
3.线上活动的策划。
4.品牌线上媒体的规划和创意提供。
5.与国外/国内客户的沟通和其它日常文书工作。

任职要求:
1.出色的文案撰写能力，出色的策划能力。
2.对排版、平面设计有一定的经验和相关案例。
3.不错的归纳能力，能对客户提供的文字进行一定的归纳
和修饰。
4.有微信运营的实际操作经验，知道如何利用排版工具
(如秀米等）对微信公众号进行排版。
5.良好的沟通能力和学习能力，工作上手快。
6.会视频剪辑，英语或者西班牙语读写者优秀者优先考虑（非必须）。"
新媒体运营专员（公众号实习助理）,派贤信息,50,100,广州,不限,5,2021/4/23,"该岗位为实习助理


	岗位职责：


	1. 负责新媒体平台（微信、小程序、公众号、微博、抖音、百度、贴吧、知乎、头条）等的整体运营和推广；


	2. 负责新媒体平台的内容选取、文案撰写、编辑、发布和推广，提升内容质量和传播度；


	3. 负责新媒体平台粉丝的招募和维护，维护良好的互动氛围，提高粉丝活跃度；


	4. 负责新媒体平台推广效果的跟踪、数据分析和反馈及优化调整等工作；


	5. 负责新媒体产品挖掘与运营，能够掌握新媒体动向，将互联网新媒体产品与公司业务结合，进行网络营销推广。


	岗位要求：


	1、学历不限，有相关工作经验优先；


	2、 文字功底好，写作能力强，有爆款推文者优先考虑；


	3、 熟悉新媒体平台操作模式，以及新媒体渠道的运作模式；


	4、 熟悉广告法，熟悉新媒体平台推文的相关规定；


	5、 较强的执行力，独立思考能力，观察力。"
新媒体运营,阿蒙工师,100,200,深圳,不限,3,2021/6/30,"岗位职责


	1、负责短视频运营，


	2、兼顾公众号运营，





任职要求


	1、会短视频的剪辑和后期，


	2、会微信公众号文案排版，


	3、踏实负责，沟通协作能力强，


	4、每周至少工作6天，工作时间自由，


	5、至少实习3月。





薪酬待遇


	1、底薪 2000-3000 元/月，


	2、根据工作量和表现提供奖励，


	3、可远程实习。"
网络客服,佳电大兵,80,120,成都,不限,5,2021/4/30,"1. 群管理员角色，日常社群活跃工作，及时回复客户问题，给客户介绍相关流程及内容；
2. 专项团购活动时，按时在总群发布团购公告，并做好总群向分群拉人的相关沟通执行工作；
3. 直播间、微信公众号、小程序等各渠道的粉丝加人进群工作；
4. 记录意向购买客户的信息，整理客户信息表；
5. 每日跟进客户使用体验追踪及收集客户的建议意见，引导客户微店带图晒单，并做好记录
6. 帐号朋友圈每日分享；

9点到18点，中午休息2个小时，日工作7小时
新媒体抖音直播行业，发展空间大，只要有能力，后期选品带货直播销售都可是你"
新媒体运营,人生无限传媒,150,200,深圳,本科,5,2021/9/30,"岗位职责：
1.负责公司微信公众号日常发布、后台维护与数据分析；
2.负责挖掘、分析用户使用习惯、情感体验，制造话题并完成专题策划，快速响应社会、行业热点，提高粉丝数；
3.负责定期调查掌握实时动态变化，及时做工作汇报反馈；
4.负责分析目标用户群和潜在用户群，并以此为依据，制定出切实可行的运营推广方案及执行计划；

岗位要求：
1.大专及以上学历，中文、新闻学、编辑出版、新媒体等相关专业；
2.脑洞大，搞笑逗比，敢创新，文案佳，热爱新媒体；
3.懂得基本的PS、PR等设计软件操作优先考虑，熟练使用基本的办公软件；
4.长期混迹于微博、知乎、豆瓣等网络社区，对涨粉有自己的见解和解决方案；
5.逻辑思维能力较强，熟悉新媒体渠道用户裂变方式，能独立完成活动策划；
6.王撕葱，加分；"
网络销售,赛和科技,100,200,南昌,不限,3,2021/7/31,"1、任职要求


	年龄18-30之间的健康青年都可以





	2、岗位职责





	利用互联网向民办学校、驾校、培训机构推广公司的招生系统


	利用互联网向中小商家推广公司的微营销引流系统（比如微信分销系统、拼团等系统）


	维护好开发对接的客户"
新媒体运营,麦穗人工智能,150,300,上海,本科,5,2021/6/30,"岗位职责:
1、负责公司新媒体平台(知乎、今日头条、喜马拉雅等)的日常运营及推广工作，包括内容策划、选题、撰写、排版、维护更新、粉丝互动等,提高影响力和关注度&semi;
2、收集、研究网络热点话题，结合新媒体特性，对内容实时更新和调整，负责新媒体平台粉丝拉新、留存、裂变和转化&semi;
3、负责新媒体平台推广效果的跟踪、评估，数据分析、总结&semi;
4、紧跟公司合作动态，对客户进行访谈、拍摄及新闻撰稿，进行专题策划活动&semi;
5、负责短视频的策划与拍摄&semi;

	6、紧跟新媒体发展趋势，广泛关注标杆性公众号，积极探索新媒体运营模式&semi;




任职要求:
1、本科及以上学历，有新媒体运营或采编工作经验者优先&semi;
2、有独立策划、实施新媒体传播活动的能力&semi;
3、对新媒体热点有敏锐的洞察力，有较强的文案功底，能够独立撰写新媒体运营方案&semi;
4、熟悉网络媒体传播特点，对社会化媒体传播有独到见解，了解口碑营销的执行操作流程&semi;
5、具备较强的沟通协调能力、团队协作能力和抗压能力，有责任心。"
视频剪辑,寻缘树,120,180,上海,本科,5,2021/4/30,"岗位职责：
1.负责视频的编辑、脚本的编写及相关事宜
2.各部门资源协调工作
3.新媒体平台资源的收集。

岗位要求：
1. 本科的大三或大四同学，需要一定的审美。
2.对内容及热点有较好的感知和判断力，反应敏捷。
3.适应压力，细致耐心，责任心强，执行力强，有团队合作精神。"
